;NAME;CORES;CPUMARK;THREAD;TDP;SOCKET;CAT
;AArch64;4;833;368;NA;Unknown;Mobile/Embedded
;AArch64 rev 2 (aarch64);8;2409;908;NA;Unknown;Mobile/Embedded
;AArch64 rev 4 (aarch64);8;1813;588;NA;Unknown;Mobile/Embedded
;AC8257V/WAB;8;788;485;NA;Unknown;Unknown
;AC8259V/WAB;8;910;508;NA;Unknown;Mobile/Embedded
;Allwinner A133;4;668;409;NA;Unknown;Mobile/Embedded
;Allwinner A523;8;1906;585;NA;Unknown;Mobile/Embedded
;Allwinner A527;8;2297;678;NA;Unknown;Mobile/Embedded
;Allwinner A733;8;3392;1424;NA;Unknown;Mobile/Embedded
;Allwinner H618;4;623;396;NA;Unknown;Mobile/Embedded
;Allwinner h728;8;1953;616;NA;Unknown;Mobile/Embedded
;AMD 3015Ce;2;2099;1337;6;FT5;Mobile/Embedded
;AMD 3015e;2;2657;1340;6;Unknown;Laptop
;AMD 3020e;2;2412;1390;6;Unknown;Laptop
;AMD 4700S;8;17756;2348;NA;Unknown;Desktop
;AMD A10 Micro-6700T APU;4;1426;722;5;FT3b;Laptop
;AMD A10 PRO-7350B APU;4;1867;889;19;FP3;Laptop
;AMD A10 PRO-7800B APU;2;3315;1499;65;FM2+;Desktop
;AMD A10 PRO-7850B APU;2;3441;1565;95;FM2+;Desktop
;AMD A10-4600M APU;2;1943;1080;35;FS1r2;Laptop
;AMD A10-4655M APU;2;1651;896;25;FP2;Laptop
;AMD A10-4657M APU;4;1759;940;35;FP2;Laptop
;AMD A10-5700 APU;2;2742;1428;65;FM2;Desktop
;AMD A10-5745M APU;4;1771;944;25;FP2;Laptop
;AMD A10-5750M APU;4;2062;1171;35;FS1r2;Laptop
;AMD A10-5757M APU;4;1996;1150;35;FP2;Laptop
;AMD A10-5800B APU;2;3057;1586;100;FM2;Desktop
;AMD A10-5800K APU;2;2955;1492;100;FM2;Desktop
;AMD A10-6700 APU;4;3112;1605;65;FM2;Desktop
;AMD A10-6700T APU;2;2299;1290;45;FM2;Desktop
;AMD A10-6790K APU;2;3108;1559;100;FM2;Desktop
;AMD A10-6800B APU;2;3155;1666;100;FM2;Desktop
;AMD A10-6800K APU;2;3199;1594;100;FM2;Desktop
;AMD A10-7300 APU;4;1748;866;19;FP3;Laptop
;AMD A10-7400P;4;2120;1027;35;FP3;Laptop
;AMD A10-7700K APU;2;3181;1424;95;FM2+;Desktop
;AMD A10-7800 APU;2;3216;1458;65;FM2+;Desktop
;AMD A10-7850K APU;2;3388;1495;95;FM2+;Desktop
;AMD A10-7860K;2;3269;1486;65;FM2+;Desktop
;AMD A10-7870K;2;3496;1534;95;FM2+;Desktop
;AMD A10-7890K;2;3550;1587;95;FM2+;Desktop
;AMD A10-8700P;2;2248;1148;35;FP4;Laptop
;AMD A10-8750;2;3244;1510;65;FM2+;Desktop
;AMD A10-8850;2;3438;1608;NA;Unknown;Desktop
;AMD A10-9600P;4;2359;1160;15;FP4;Laptop
;AMD A10-9620P;4;2521;1261;15;Unknown;Laptop
;AMD A10-9630P;4;2946;1390;35;FP4;Laptop
;AMD A10-9700;4;3558;1621;65;AM4;Desktop
;AMD A10-9700E;4;3235;1513;35;AM4;Desktop
;AMD A12-9700P;4;2427;1217;15;FP4;Laptop
;AMD A12-9720P;4;2639;1306;15;FP4;Laptop
;AMD A12-9730P;4;3027;1417;35;FP4;Laptop
;AMD A12-9800;2;3684;1701;65;AM4;Desktop
;AMD A12-9800E;4;3471;1617;35;AM4;Desktop
;AMD A4 Micro-6400T APU;4;1082;540;4.5;FT3b;Laptop
;AMD A4 PRO-3340B;4;1709;691;25;BGA769 (FT3);Laptop
;AMD A4 PRO-7300B APU;1;1458;1445;65;Unknown;Desktop
;AMD A4 PRO-7350B;1;1544;1438;65;FM2+;Desktop
;AMD A4-1200 APU;2;375;304;3.9;FT3;Laptop
;AMD A4-1250 APU;2;418;328;8;FT3;Laptop
;AMD A4-1350 APU;4;911;345;8;FT3;Laptop
;AMD A4-3300 APU;2;965;987;65;FM1;Desktop
;AMD A4-3300M APU;2;723;786;65;FM1;Laptop
;AMD A4-3305M APU;2;762;835;35;FS1;Laptop
;AMD A4-3310MX APU;2;782;832;45;FS1;Laptop
;AMD A4-3320M APU;2;668;708;35;FS1;Laptop
;AMD A4-3330MX APU;2;756;908;45;FS1 uPGA;Laptop
;AMD A4-3400 APU;2;1089;1084;65;FM1;Desktop
;AMD A4-3420 APU;2;1067;1119;65;FM1;Desktop
;AMD A4-4000 APU;1;1157;1142;65;FM2;Desktop
;AMD A4-4020 APU;2;1269;1218;65;FM2;Desktop
;AMD A4-4300M APU;1;977;997;35;FS1;Laptop
;AMD A4-4355M APU;2;806;813;17;FP2;Laptop
;AMD A4-5000 APU;4;1286;505;15;FT3;Laptop
;AMD A4-5050 APU;4;1328;538;13.5;FT3;Laptop
;AMD A4-5100 APU;4;1260;532;15;FT3;Laptop
;AMD A4-5150M APU;2;927;901;35;FS1r2;Laptop
;AMD A4-5300 APU;2;1366;1337;65;FM2;Desktop
;AMD A4-5300B APU;2;1254;1241;65;FM2;Desktop
;AMD A4-6210 APU;4;1506;607;15;FT3b;Laptop
;AMD A4-6250J APU;4;1671;695;25;Unknown;Laptop, Mobile/Embedded
;AMD A4-6300 APU;1;1422;1396;65;FM2;Desktop
;AMD A4-6300B APU;1;1328;1373;65;Unknown;Desktop
;AMD A4-6320 APU;1;1530;1529;65;FM2;Desktop
;AMD A4-7210 APU;4;1663;726;25;BGA;Laptop
;AMD A4-7300 APU;1;1534;1480;65;FM2;Desktop
;AMD A4-9120;2;1224;1058;15;BGA;Laptop
;AMD A4-9120C;2;864;895;6;FT4;Laptop
;AMD A4-9120e;2;854;744;NA;FT4;Laptop
;AMD A4-9125;2;1204;1029;15;BGA (FT4);Laptop
;AMD A6 Micro-6500T APU;4;1146;630;NA;Unknown;Laptop
;AMD A6 PRO-7050B APU;2;1010;866;17;FP3;Laptop
;AMD A6 PRO-7400B;1;1640;1494;65;FM2+;Desktop
;AMD A6-1450 APU;4;1054;439;8;FT3;Laptop
;AMD A6-3400M APU;4;1218;702;35;FS1;Laptop
;AMD A6-3410MX APU;4;1270;736;45;FS1;Laptop
;AMD A6-3420M APU;4;1302;775;35;FS1;Laptop
;AMD A6-3430MX APU;4;1389;776;45;FS1;Laptop
;AMD A6-3500 APU;3;1438;965;65;FM1;Desktop
;AMD A6-3600 APU;4;1697;909;65;FM1;Desktop
;AMD A6-3620 APU;4;1869;982;65;FM1;Desktop
;AMD A6-3650 APU;4;2090;1047;100;FM1;Desktop
;AMD A6-3670 APU;4;2182;1146;100;FM1;Desktop
;AMD A6-4400M APU;1;998;1020;35;FS1r2;Laptop
;AMD A6-4455M APU;1;792;771;17;FP2;Laptop
;AMD A6-5200 APU;4;1673;665;25;FT3;Laptop
;AMD A6-5345M APU;2;1122;1094;17;FP2;Laptop
;AMD A6-5350M APU;2;1199;1196;35;FS1r2;Laptop
;AMD A6-5357M APU;2;1192;1222;35;FP2;Laptop
;AMD A6-5400B APU;1;1459;1408;65;FM2;Desktop
;AMD A6-5400K APU;1;1276;1267;65;FM2;Desktop
;AMD A6-6310 APU;4;1683;744;15;FT3;Laptop
;AMD A6-6400B APU;1;1639;1595;65;FM2;Desktop
;AMD A6-6400K APU;1;1514;1450;65;FM2;Desktop
;AMD A6-6420B APU;1;1550;1629;65;FM2;Desktop
;AMD A6-6420K APU;2;1571;1550;65;FM2;Desktop
;AMD A6-7000;2;1012;825;17;FP3;Laptop
;AMD A6-7310 APU;4;1729;771;25;Unknown;Laptop
;AMD A6-7400K APU;2;1662;1450;65;FM2+;Desktop
;AMD A6-7470K;1;1799;1576;65;FM2+;Desktop
;AMD A6-7480;2;1817;1534;65;FM2+;Desktop
;AMD A6-8500P;2;1445;1253;15;BGA (FP4);Laptop
;AMD A6-8550;2;1762;1546;65;FM2+;Desktop
;AMD A6-9200;2;1146;986;10;BGA;Laptop
;AMD A6-9210;2;1254;1105;15;FP4;Laptop
;AMD A6-9220;2;1296;1142;15;Unknown;Laptop
;AMD A6-9220C;2;1053;995;6;FT4;Laptop
;AMD A6-9220e;2;960;856;NA;Unknown;Laptop
;AMD A6-9225;2;1336;1160;15;BGA (FT4);Laptop
;AMD A6-9230;2;1303;1124;15;Unknown;Desktop
;AMD A6-9400;2;2717;1664;10;FT4;Laptop
;AMD A6-9500;2;1876;1625;65;AM4;Desktop
;AMD A6-9500E;2;1725;1369;35;AM4;Desktop
;AMD A8 PRO-7150B APU;4;1528;763;19;FP3;Laptop
;AMD A8 PRO-7600B APU;4;2944;1379;65;FM2+;Desktop
;AMD A8-3500M APU;4;1394;802;35;FS1;Laptop
;AMD A8-3510MX APU;4;1631;898;45;FS1;Laptop
;AMD A8-3520M APU;4;1453;840;35;FS1;Laptop
;AMD A8-3530MX APU;4;1608;938;45;FS1;Laptop
;AMD A8-3550MX APU;4;1687;962;45;FS1;Laptop
;AMD A8-3800 APU;4;2045;1042;65;FM1;Desktop
;AMD A8-3820 APU;4;2185;1129;65;FM1;Desktop
;AMD A8-3850 APU;4;2409;1221;100;FM1;Desktop
;AMD A8-3870K APU;4;2345;1214;100;FM1;Desktop
;AMD A8-4500M APU;2;1695;918;35;FS1r2;Laptop
;AMD A8-4555M APU;2;1344;793;19;FP2;Laptop
;AMD A8-5500 APU;2;2619;1336;65;FM2;Desktop
;AMD A8-5500B APU;2;2588;1321;65;FM2;Desktop
;AMD A8-5545M APU;4;1625;864;19;FP2;Laptop
;AMD A8-5550M APU;4;1816;1007;35;FS1r2;Laptop
;AMD A8-5557M APU;4;1831;1069;35;FP2;Laptop
;AMD A8-5600K APU;4;2868;1431;100;FM2;Desktop
;AMD A8-6410 APU;4;1771;781;15;BGA769 (FT3b);Laptop
;AMD A8-6500 APU;2;2844;1482;65;FM2;Desktop
;AMD A8-6500B APU;2;2788;1500;65;FM2;Desktop
;AMD A8-6500T APU;2;1983;1139;45;FM2;Desktop
;AMD A8-6600K APU;2;2999;1528;100;FM2;Desktop
;AMD A8-7050;2;1068;877;15;Unknown;Laptop
;AMD A8-7100 APU;4;1647;835;19;FP3;Laptop
;AMD A8-7200P;4;2158;1039;35;FP3;Laptop
;AMD A8-7410 APU;4;1816;799;25;Unknown;Laptop
;AMD A8-7500;2;3411;1410;65;FM2+;Desktop
;AMD A8-7600 APU;2;3213;1446;65;FM2+;Desktop
;AMD A8-7650K;2;3119;1398;65;FM2+;Desktop
;AMD A8-7670K;4;3230;1494;95;FM2+;Desktop
;AMD A8-7680;4;3592;1622;45;FM2+;Laptop
;AMD A8-7690K;4;2157;1441;95;FM2+;Desktop
;AMD A8-8600P;2;2464;1189;15;FP4;Laptop
;AMD A8-8650;4;2996;1483;65;FM2+;Desktop
;AMD A8-9600;4;3298;1486;65;AM4;Desktop
;AMD A9-9400;2;1332;1199;10;FP4;Laptop
;AMD A9-9410;2;1548;1351;25;FP4;Laptop
;AMD A9-9420;2;1525;1320;15;Unknown;Laptop
;AMD A9-9420e;2;1108;957;NA;Unknown;Laptop
;AMD A9-9425;2;1514;1323;15;BGA (FT4);Laptop
;AMD A9-9430;2;1699;1454;NA;Unknown;Desktop
;AMD A9-9820;8;3958;798;NA;Unknown;Desktop
;AMD Athlon 1500+;1;191;275;NA;Unknown;Desktop
;AMD Athlon 1640B;1;412;462;45;AM2;Desktop
;AMD Athlon 200GE;2;4092;1789;35;AM4;Desktop
;AMD Athlon 220GE;2;4429;1959;35;AM4;Laptop
;AMD Athlon 240GE;2;4561;1965;35;AM4;Desktop
;AMD Athlon 2650e;1;274;304;15;AM2;Desktop
;AMD Athlon 2800+;1;291;439;89;754;Desktop
;AMD Athlon 2850e;1;333;337;22;AM2;Desktop
;AMD Athlon 3000G;2;4455;1964;35;AM4;Desktop
;AMD Athlon 300GE;2;4299;1874;35;AM4;Desktop
;AMD Athlon 300U;2;3874;1770;15;FP5;Laptop
;AMD Athlon 320GE;2;4399;1929;35;AM4;Desktop
;AMD Athlon 5000 Dual-Core;2;872;898;65;AM2,AM2+;Desktop
;AMD Athlon 5150 APU;4;1404;545;25;AM1,FS1b;Desktop
;AMD Athlon 5200 Dual-Core;2;869;915;75;AM2;Desktop
;AMD Athlon 5350 APU;4;1804;699;25;AM1,FS1B;Desktop
;AMD Athlon 5370 APU;4;1927;754;25;AM1,FS1B;Desktop
;AMD Athlon 64 2000+;1;154;173;8;Unknown;Desktop
;AMD Athlon 64 2600+;1;243;292;15;Unknown;Desktop
;AMD Athlon 64 2800+;1;295;375;89;754;Desktop
;AMD Athlon 64 3000+;1;334;615;89;Socket 754;Desktop
;AMD Athlon 64 3100+;1;484;600;89;754;Desktop
;AMD Athlon 64 3200+;1;305;621;62;AM2;Desktop
;AMD Athlon 64 3300+;1;375;477;NA;Unknown;Desktop
;AMD Athlon 64 3400+;1;317;547;89;754;Desktop
;AMD Athlon 64 3500+;1;377;576;45;AM2;Desktop
;AMD Athlon 64 3700+;1;394;435;89;939;Desktop
;AMD Athlon 64 3800+;1;292;461;45;AM2;Desktop
;AMD Athlon 64 4000+;1;340;565;62;AM2;Desktop
;AMD Athlon 64 FX-55;1;404;505;104;939;Desktop
;AMD Athlon 64 FX-57;1;517;552;104;939;Desktop
;AMD Athlon 64 FX-59;1;465;575;NA;939;Desktop
;AMD Athlon 64 FX-60 Dual Core;2;709;912;110;939;Desktop
;AMD Athlon 64 FX-62 Dual Core;2;993;1022;125;AM2;Desktop
;AMD Athlon 64 FX-74;2;972;617;125;F (1207);Desktop
;AMD Athlon 64 X2 Dual Core 3400+;2;531;505;89;754;Desktop
;AMD Athlon 64 X2 Dual Core 3600+;2;618;655;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 3800+;2;629;718;89;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 4000+;2;692;737;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 4200+;2;729;804;89;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 4400+;2;671;763;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 4600+;2;720;835;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 4800+;2;719;878;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 5000+;2;801;905;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 5200+;2;850;934;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 5400+;2;907;999;65;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 5600+;2;909;1018;89;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 5800+;2;653;746;89;Unknown;Desktop
;AMD Athlon 64 X2 Dual Core 6000+;2;936;1046;89;AM2;Desktop
;AMD Athlon 64 X2 Dual Core 6400+;2;982;1131;125;AM2;Desktop
;AMD Athlon 64 X2 Dual Core BE-2300;2;594;624;45;AM2;Desktop
;AMD Athlon 64 X2 Dual Core BE-2350;2;573;674;45;AM2;Desktop
;AMD Athlon 64 X2 Dual-Core TK-42;2;577;537;20;Unknown;Desktop
;AMD Athlon 64 X2 Dual-Core TK-53;2;602;621;31;Unknown;Desktop
;AMD Athlon 64 X2 Dual-Core TK-55;2;518;609;35;Unknown;Desktop
;AMD Athlon 64 X2 Dual-Core TK-57;2;624;646;31;Unknown;Desktop
;AMD Athlon 64 X2 QL-60;2;651;650;35;S1;Laptop
;AMD Athlon 64 X2 QL-62;2;525;623;35;S1;Laptop
;AMD Athlon 64 X2 QL-64;2;605;694;35;S1;Laptop
;AMD Athlon 64 X2 QL-65;2;637;681;35;S1;Laptop
;AMD Athlon 64 X2 QL-66;2;641;751;35;S1;Laptop
;AMD Athlon 64 X2 QL-67;2;582;515;35;S1;Laptop
;AMD Athlon 7450 Dual-Core;2;789;853;95;AM2+;Desktop
;AMD Athlon 7550 Dual-Core;2;900;934;95;AM2+;Desktop
;AMD Athlon 7750 Dual-Core;2;1005;1051;95;AM2+;Desktop
;AMD Athlon 7850 Dual-Core;2;1058;1118;95;AM2+;Desktop
;AMD Athlon Dual Core 4050e;2;674;751;45;AM2;Desktop
;AMD Athlon Dual Core 4450B;2;723;798;45;AM2+;Desktop
;AMD Athlon Dual Core 4450e;2;710;802;45;AM2;Desktop
;AMD Athlon Dual Core 4850B;2;727;887;45;AM2+;Desktop
;AMD Athlon Dual Core 4850e;2;799;906;45;AM2;Desktop
;AMD Athlon Dual Core 5000B;2;856;942;65;AM2;Desktop
;AMD Athlon Dual Core 5050e;2;846;917;45;AM2;Desktop
;AMD Athlon Dual Core 5200B;2;823;966;65;AM2;Desktop
;AMD Athlon Dual Core 5400B;2;914;985;65;AM2;Desktop
;AMD Athlon Dual Core 5600B;2;737;1003;65;AM2+;Desktop
;AMD Athlon Gold 3150C;2;3292;1706;15;FP5;Laptop, Mobile/Embedded
;AMD Athlon Gold 3150G;4;6922;2212;65;AM4;Desktop
;AMD Athlon Gold 3150U;2;3961;1741;15;FP5;Laptop
;AMD Athlon Gold 7220U;2;4896;2213;15;FP6;Laptop
;AMD Athlon Gold PRO 3150G;4;5698;2088;65;AM4;Desktop
;AMD Athlon Gold PRO 3150GE;4;7006;2165;35;AM4;Desktop
;AMD Athlon Gold PRO 4150GE;4;8259;2384;35;FP6;Laptop
;AMD Athlon II 160u;1;358;717;20;Unknown;Desktop
;AMD Athlon II 170u;1;355;731;20;AM2+,AM3;Desktop
;AMD Athlon II Dual-Core M300;2;670;776;35;Unknown;Laptop
;AMD Athlon II Dual-Core M320;2;749;855;35;Unknown;Laptop
;AMD Athlon II Dual-Core M340;2;807;858;35;Unknown;Laptop
;AMD Athlon II N330 Dual-Core;2;665;813;35;Unknown;Laptop
;AMD Athlon II N350 Dual-Core;2;856;983;35;Unknown;Laptop
;AMD Athlon II N370 Dual-Core;2;899;913;35;S1g4;Laptop
;AMD Athlon II Neo K125;1;315;616;12;S1;Laptop
;AMD Athlon II Neo K145;1;298;592;12;S1;Laptop
;AMD Athlon II Neo K325 Dual-Core;2;417;486;12;Unknown;Laptop
;AMD Athlon II Neo K345 Dual-Core;2;527;552;12;Unknown;Laptop
;AMD Athlon II Neo N36L Dual-Core;2;487;524;12;Unknown;Laptop
;AMD Athlon II P320 Dual-Core;2;700;815;25;Unknown;Laptop
;AMD Athlon II P340 Dual-Core;2;718;851;25;S1g4;Laptop
;AMD Athlon II P360 Dual-Core;2;748;871;25;S1g4;Laptop
;AMD Athlon II X2 210e;2;1089;1051;45;AM3;Desktop
;AMD Athlon II X2 215;2;998;1047;65;AM3;Desktop
;AMD Athlon II X2 220;2;1038;1091;65;AM3;Desktop
;AMD Athlon II X2 235e;2;1079;1098;45;AM3;Desktop
;AMD Athlon II X2 240;2;1052;1076;65;AM3;Desktop
;AMD Athlon II X2 240e;2;1007;1097;45;AM3;Desktop
;AMD Athlon II X2 245;2;1130;1135;65;AM2+/AM3;Desktop
;AMD Athlon II X2 245e;2;1126;1176;45;AM3;Desktop
;AMD Athlon II X2 250;2;1170;1196;65;AM3;Desktop
;AMD Athlon II X2 250e;2;1202;1204;45;AM3;Desktop
;AMD Athlon II X2 250u;2;598;637;25;AM3;Desktop
;AMD Athlon II X2 255;2;1209;1237;65;AM3;Desktop
;AMD Athlon II X2 260;2;1214;1267;65;AM3;Desktop
;AMD Athlon II X2 260u;2;713;716;25;AM3;Desktop
;AMD Athlon II X2 265;2;1290;1341;65;AM3;Desktop
;AMD Athlon II X2 270;2;1325;1357;65;AM3;Desktop
;AMD Athlon II X2 270u;2;675;791;25;AM3;Desktop
;AMD Athlon II X2 280;2;1355;1462;65;AM3;Desktop
;AMD Athlon II X2 4300e;2;990;1074;13;Unknown;Desktop
;AMD Athlon II X2 4400e;2;944;1063;37;Unknown;Desktop
;AMD Athlon II X2 4450e;2;867;1066;45;AM2;Desktop
;AMD Athlon II X2 B22;2;1064;1125;65;AM3;Desktop
;AMD Athlon II X2 B24;2;1111;1186;65;AM3;Desktop
;AMD Athlon II X2 B26;2;1237;1275;65;Unknown;Unknown
;AMD Athlon II X2 B28;2;1284;1348;65;AM3;Desktop
;AMD Athlon II X3 400e;3;1320;908;45;AM3;Desktop
;AMD Athlon II X3 405e;3;1331;973;45;AM3;Desktop
;AMD Athlon II X3 415e;3;1441;1028;45;AM3;Desktop
;AMD Athlon II X3 420e;3;1557;1058;45;AM3;Desktop
;AMD Athlon II X3 425;3;1591;1087;95;AM3;Desktop
;AMD Athlon II X3 435;3;1633;1162;95;AM3;Desktop
;AMD Athlon II X3 440;3;1719;1193;95;AM3;Desktop
;AMD Athlon II X3 445;3;1804;1255;95;AM3;Desktop
;AMD Athlon II X3 450;3;1872;1300;95;AM3;Desktop
;AMD Athlon II X3 455;3;1915;1330;95;AM3;Desktop
;AMD Athlon II X3 460;3;2008;1395;95;AM3;Desktop
;AMD Athlon II X4 553;4;2418;1204;NA;Unknown;Desktop
;AMD Athlon II X4 555;4;2526;1244;NA;Unknown;Desktop
;AMD Athlon II X4 557;4;2567;1345;160;AM3;Desktop
;AMD Athlon II X4 559;4;2652;1397;NA;Unknown;Desktop
;AMD Athlon II X4 600e;4;1795;913;45;AM3;Desktop
;AMD Athlon II X4 605e;4;1966;999;45;AM3;Desktop
;AMD Athlon II X4 610e;4;1959;1039;45;AM3;Desktop
;AMD Athlon II X4 615e;4;2000;1037;45;AM3;Desktop
;AMD Athlon II X4 620;4;2020;1062;95;AM3;Desktop
;AMD Athlon II X4 630;4;2173;1130;95;AM3;Desktop
;AMD Athlon II X4 631 Quad-Core;4;2118;1115;100;FM1;Desktop
;AMD Athlon II X4 635;4;2242;1168;95;AM3;Desktop
;AMD Athlon II X4 638 Quad-Core;4;2260;1158;65;FM1;Desktop
;AMD Athlon II X4 640;4;2264;1212;95;AM3;Desktop
;AMD Athlon II X4 641 Quad-Core;4;2313;1189;100;FM1;Desktop
;AMD Athlon II X4 645;4;2373;1260;95;AM3;Desktop
;AMD Athlon II X4 650;4;2457;1308;95;Unknown;Desktop
;AMD Athlon II X4 651 Quad-Core;4;2443;1271;100;FM1;Desktop
;AMD Athlon II X4 655;4;2078;1473;95;AM2+ (940-pin);Desktop
;AMD Athlon L110;1;211;328;13;Unknown;Unknown
;AMD Athlon LE-1600;1;412;430;45;AM2;Desktop
;AMD Athlon LE-1620;1;421;475;45;AM2;Desktop
;AMD Athlon LE-1640;1;430;489;45;AM2;Desktop
;AMD Athlon LE-1660;1;416;428;45;AM2;Desktop
;AMD Athlon Neo MV-40;1;278;488;15;Unknown;Unknown
;AMD Athlon Neo X2 Dual Core 6850e;2;456;566;22;Unknown;Unknown
;AMD Athlon Neo X2 Dual Core L325;2;556;567;18;Unknown;Unknown
;AMD Athlon Neo X2 Dual Core L335;2;529;570;18;Unknown;Unknown
;AMD Athlon PRO 200GE;2;3816;1768;35;AM4;Desktop
;AMD Athlon PRO 300GE;2;4371;1925;35;AM4;Desktop
;AMD Athlon PRO 300U;2;4080;1931;15;FP5;Laptop
;AMD Athlon PRO 3045B;2;2770;1520;15;FP5;Laptop
;AMD Athlon Silver 3050C;2;2879;1809;15;FP5;Laptop
;AMD Athlon Silver 3050e;2;2906;1432;6;Unknown;Laptop
;AMD Athlon Silver 3050GE;2;4545;2016;35;AM4;Laptop
;AMD Athlon Silver 3050U;2;2953;1692;15;FP5;Laptop
;AMD Athlon Silver 7120U;2;3048;1904;15;FP6;Laptop
;AMD Athlon Silver PRO 3125GE;2;4633;2074;35;AM4;Desktop
;AMD Athlon TF-20;1;265;454;15;Unknown;Unknown
;AMD Athlon TF-36;1;338;349;25;Unknown;Unknown
;AMD Athlon X2 215;2;996;1107;65;Unknown;Unknown
;AMD Athlon X2 240;2;921;1017;65;Unknown;Unknown
;AMD Athlon X2 240e;2;1015;1092;45;Unknown;Unknown
;AMD Athlon X2 250;2;855;1099;65;Unknown;Unknown
;AMD Athlon X2 255;2;938;1095;65;AM2+/AM3;Unknown
;AMD Athlon X2 280;2;1327;1258;65;AM3;Unknown
;AMD Athlon X2 340 Dual Core;2;1333;1261;65;FM2;Desktop
;AMD Athlon X2 370K Dual Core;1;1504;1514;65;Unknown;Unknown
;AMD Athlon X2 450;2;1295;878;65;FM2+;Desktop
;AMD Athlon X2 Dual Core 3250e;2;348;466;22;Unknown;Unknown
;AMD Athlon X2 Dual Core 6850e;2;564;623;22;Unknown;Unknown
;AMD Athlon X2 Dual Core BE-2300;2;570;644;45;AM2;Desktop
;AMD Athlon X2 Dual Core BE-2350;2;591;705;45;AM2;Desktop
;AMD Athlon X2 Dual Core BE-2400;2;674;749;18;FT1;Desktop
;AMD Athlon X2 Dual Core L310;2;343;403;13;S1;Laptop
;AMD Athlon X3 425;3;1516;845;95;Unknown;Unknown
;AMD Athlon X3 435;3;1781;1192;95;Unknown;Unknown
;AMD Athlon X3 440;3;1438;1129;95;Unknown;Unknown
;AMD Athlon X3 445;3;1626;1270;95;Unknown;Unknown
;AMD Athlon X3 455;3;1783;1227;95;AM2+/AM3;Unknown
;AMD Athlon X4 530;4;1786;690;25;AM1;Desktop
;AMD Athlon X4 620;4;1810;1033;95;Unknown;Unknown
;AMD Athlon X4 640;4;2115;1224;95;Unknown;Unknown
;AMD Athlon X4 730;2;2278;937;65;FM2;Desktop
;AMD Athlon X4 740 Quad Core;2;2641;1356;65;FM2;Desktop
;AMD Athlon X4 750 Quad Core;4;2751;1510;65;FM2;Desktop
;AMD Athlon X4 750K Quad Core;2;2883;1467;100;FM2;Unknown
;AMD Athlon X4 760K Quad Core;2;2987;1529;100;FM2;Desktop
;AMD Athlon X4 830;2;2901;1292;65;FM2+;Desktop
;AMD Athlon X4 840;2;3327;1482;65;FM2+;Desktop
;AMD Athlon X4 845;2;3783;1664;65;FM2+;Desktop
;AMD Athlon X4 850;4;2657;1231;65;FM2+;Unknown
;AMD Athlon X4 860K;2;3432;1521;95;FM2+;Desktop
;AMD Athlon X4 870K;2;3420;1559;95;FM2+;Desktop
;AMD Athlon X4 880K;2;3664;1635;95;FM2+;Desktop
;AMD Athlon X4 950;4;3576;1625;65;AM4;Desktop
;AMD Athlon X4 970;4;3472;1616;65;AM4;Desktop
;AMD Athlon XP 1500+;1;167;251;NA;Unknown;Unknown
;AMD Athlon XP 1600+;1;174;265;NA;Unknown;Unknown
;AMD Athlon XP 1700+;1;176;272;64;Socket A (462);Desktop
;AMD Athlon XP 1800+;1;195;301;66;Socket A;Desktop
;AMD Athlon XP 1900+;1;203;312;NA;Unknown;Unknown
;AMD Athlon XP 2000+;1;195;311;70;Socket A;Desktop
;AMD Athlon XP 2100+;1;210;327;NA;Unknown;Unknown
;AMD Athlon XP 2200+;1;214;335;NA;Unknown;Unknown
;AMD Athlon XP 2400+;1;234;375;NA;Unknown;Unknown
;AMD Athlon XP 2500+;1;231;353;NA;Unknown;Unknown
;AMD Athlon XP 2600+;1;242;380;NA;Unknown;Unknown
;AMD Athlon XP 2700+;1;256;398;NA;Unknown;Unknown
;AMD Athlon XP 2800+;1;260;408;89;754;Unknown
;AMD Athlon XP 2900+;1;276;410;NA;Unknown;Unknown
;AMD Athlon XP 3000+;1;262;396;62;Socket A;Desktop
;AMD Athlon XP 3100+;1;282;431;NA;Unknown;Unknown
;AMD Athlon XP 3200+;1;281;430;62;AM2;Unknown
;AMD Athlon XP1600+;1;183;272;NA;Unknown;Unknown
;AMD Athlon XP2400+;1;243;390;NA;Unknown;Unknown
;AMD Athlon64 X2 Dual Core 4600+;2;803;755;110;AM2;Desktop
;AMD BC-250;6;13201;2115;220;Unknown;Unknown
;AMD C-30;1;178;375;9;FT1;Laptop
;AMD C-50;2;258;308;9;FT1;Laptop
;AMD C-60;2;290;354;9;Unknown;Unknown
;AMD C-60 APU;2;316;357;9;Unknown;Laptop, Mobile/Embedded
